type	time	latitude	longitude	altitude (m)	name
W	2017-03-26 17:52:36	31.918870000	-110.217130000	1151.0	2017-03-26 17:52:36
W	2017-03-26 17:50:08	31.918880000	-110.217130000	1151.0	2017-03-26 17:50:08
W	2017-03-26 17:47:39	31.918910000	-110.217070000	1142.0	2017-03-26 17:47:39
W	2017-03-26 17:45:10	31.921600000	-110.223420000	2141.0	2017-03-26 17:45:10
W	2017-03-26 17:42:41	31.920960000	-110.230060000	3200.0	2017-03-26 17:42:41
W	2017-03-26 17:15:24	32.098930000	-110.466090000	3539.0	2017-03-26 17:15:24
W	2017-03-26 16:33:25	32.163420000	-110.789730000	3686.0	2017-03-26 16:33:25
W	2017-03-26 16:30:53	32.161220000	-110.783480000	3062.0	2017-03-26 16:30:53
W	2017-03-26 16:28:28	32.166760000	-110.775920000	2474.0	2017-03-26 16:28:28
W	2017-03-26 16:18:35	32.176650000	-110.776670000	188.0	2017-03-26 16:18:35
W	2017-03-26 16:16:06	32.180070000	-110.786070000	9635.0	2017-03-26 16:16:06
W	2017-03-26 16:13:38	32.179940000	-110.799090000	9098.0	2017-03-26 16:13:38
W	2017-03-26 16:11:10	32.180000000	-110.817550000	8483.0	2017-03-26 16:11:10
W	2017-03-26 16:08:41	32.178940000	-110.841080000	7961.0	2017-03-26 16:08:41
W	2017-03-26 16:06:12	32.177510000	-110.865300000	7379.0	2017-03-26 16:06:12
W	2017-03-26 16:01:15	32.182500000	-110.927430000	6479.0	2017-03-26 16:01:15
W	2017-03-26 15:58:46	32.187310000	-110.956160000	5939.0	2017-03-26 15:58:46
W	2017-03-26 15:56:17	32.196250000	-110.988690000	5339.0	2017-03-26 15:56:17
W	2017-03-26 15:53:49	32.215400000	-111.025310000	4862.0	2017-03-26 15:53:49
W	2017-03-26 15:51:23	32.226280000	-111.061940000	4373.0	2017-03-26 15:51:23
W	2017-03-26 15:48:49	32.240550000	-111.099910000	3866.0	2017-03-26 15:48:49
W	2017-03-26 15:46:18	32.251470000	-111.131900000	3359.0	2017-03-26 15:46:18
W	2017-03-26 15:43:48	32.274100000	-111.165790000	2912.0	2017-03-26 15:43:48
W	2017-03-26 15:38:47	32.355360000	-111.224750000	1859.0	2017-03-26 15:38:47
W	2017-03-26 15:36:17	32.398800000	-111.242260000	1316.0	2017-03-26 15:36:17
W	2017-03-26 15:31:14	32.484280000	-111.270540000	359.0	2017-03-26 15:31:14
W	2017-03-26 15:28:47	32.523390000	-111.286680000	9860.0	2017-03-26 15:28:47
W	2017-03-26 15:26:15	32.558410000	-111.304180000	9380.0	2017-03-26 15:26:15
W	2017-03-26 15:23:49	32.591850000	-111.319850000	8912.0	2017-03-26 15:23:49
W	2017-03-26 15:21:20	32.618680000	-111.340090000	8348.0	2017-03-26 15:21:20
W	2017-03-26 15:18:50	32.640620000	-111.363110000	7877.0	2017-03-26 15:18:50
W	2017-03-26 15:16:20	32.661570000	-111.390590000	7418.0	2017-03-26 15:16:20
W	2017-03-26 15:11:20	32.688300000	-111.445080000	6425.0	2017-03-26 15:11:20
W	2017-03-26 15:08:51	32.700590000	-111.475300000	5939.0	2017-03-26 15:08:51
W	2017-03-26 15:06:21	32.712810000	-111.504380000	5393.0	2017-03-26 15:06:21
W	2017-03-26 15:04:24	32.723010000	-111.522750000	5030.0	2017-03-26 15:04:24
W	2017-03-26 15:01:24	32.734900000	-111.552090000	4304.0	2017-03-26 15:01:24
W	2017-03-26 14:59:07	32.744350000	-111.570300000	3785.0	2017-03-26 14:59:07
W	2017-03-26 14:56:37	32.753780000	-111.582530000	3185.0	2017-03-26 14:56:37
W	2017-03-26 14:54:07	32.754360000	-111.591520000	2468.0	2017-03-26 14:54:07
W	2017-03-26 14:51:36	32.757310000	-111.597790000	1850.0	2017-03-26 14:51:36
W	2017-03-26 14:49:09	32.762360000	-111.600560000	1142.0	2017-03-26 14:49:09
W	2017-03-26 14:46:28	32.764440000	-111.602830000	464.0	2017-03-26 14:46:28
W	2017-03-26 14:26:06	32.764430000	-111.602830000	467.0	2017-03-26 14:26:06
W	2017-03-26 14:21:09	32.764390000	-111.602810000	464.0	2017-03-26 14:21:09
W	2017-03-26 14:18:40	32.764370000	-111.602810000	467.0	2017-03-26 14:18:40
W	2017-03-26 14:10:13	32.764370000	-111.602780000	464.0	2017-03-26 14:10:13
W	2017-03-26 14:07:44	32.764370000	-111.602770000	467.0	2017-03-26 14:07:44
W	2017-03-26 14:05:36	32.764370000	-111.602770000	464.0	2017-03-26 14:05:36
W	2017-03-26 14:02:46	32.764390000	-111.602780000	467.0	2017-03-26 14:02:46
